iter	Passed	Remaining
0	7	1468
1	14	1478
2	22	1464
3	34	1694
4	40	1568
5	45	1486
6	54	1494
7	59	1437
8	73	1557
9	77	1463
10	83	1426
11	86	1350
12	88	1280
13	91	1219
14	97	1199
15	100	1154
16	103	1112
17	106	1073
18	108	1038
19	115	1035
20	117	1004
21	120	977
22	123	950
23	128	943
24	133	934
25	136	912
26	139	892
27	144	888
28	148	877
29	151	858
30	154	842
31	159	837
32	163	829
33	167	815
34	170	804
35	177	809
36	180	795
37	183	782
38	186	769
39	193	775
40	198	769
41	201	756
42	206	754
43	210	746
44	213	734
45	216	723
46	221	721
47	224	710
48	227	700
49	230	690
50	233	681
51	237	677
52	241	670
53	245	663
54	252	665
55	257	662
56	260	654
57	263	645
58	269	644
59	272	636
60	275	628
61	279	621
62	285	620
63	288	614
64	292	607
65	296	602
66	302	600
67	306	594
68	309	587
69	316	586
70	322	585
71	325	579
72	333	580
73	337	574
74	340	568
75	347	566
76	350	560
77	356	556
78	362	554
79	367	550
80	370	544
81	374	538
82	384	541
83	387	535
84	393	533
85	398	528
86	402	522
87	405	516
88	411	513
89	415	507
90	418	501
91	424	497
92	428	493
93	432	487
94	434	480
95	443	480
96	449	477
97	452	470
98	460	469
99	464	464
100	468	458
101	473	455
102	477	449
103	482	445
104	492	445
105	496	439
106	499	433
107	507	431
108	511	427
109	514	421
110	519	416
111	523	411
112	526	405
113	529	399
114	534	395
115	537	389
116	540	383
117	543	377
118	549	373
119	557	371
120	560	366
121	569	364
122	574	359
123	576	353
124	581	348
125	586	344
126	589	338
127	592	333
128	595	327
129	601	324
130	604	318
131	607	313
132	612	308
133	617	304
134	620	298
135	623	293
136	626	287
137	631	283
138	635	278
139	638	273
140	642	268
141	647	264
142	650	259
143	652	253
144	655	248
145	661	244
146	664	239
147	667	234
148	670	229
149	675	225
150	679	220
151	682	215
152	685	210
153	690	206
154	697	202
155	700	197
156	704	192
157	709	188
158	712	183
159	715	178
160	718	174
161	724	169
162	727	165
163	730	160
164	734	155
165	738	151
166	743	146
167	757	144
168	763	140
169	776	137
170	780	132
171	787	128
172	790	123
173	794	118
174	802	114
175	806	109
176	810	105
177	817	101
178	823	96
179	827	91
180	836	87
181	842	83
182	849	78
183	852	74
184	855	69
185	859	64
186	866	60
187	870	55
188	873	50
189	880	46
190	886	41
191	889	37
192	899	32
193	902	27
194	905	23
195	912	18
196	915	13
197	918	9
198	921	4
199	926	0
